name,resistances,immunities
Cobbleswarm,"bludgeoning, piercing, slashing",False
Cockatrice,,
Cockatrice,,
Cockatrice,"petrified,Monstrosity Resilience",
Colláis,"bludgeoning, piercing, and slashing damage from nonmagical attacks",
Commoner,,
Commoner,,
Commoner Mob,,
Commoner,,
Compsognathus,,
Conjoined Queen,,poison
Conniption Bug,,
Constrictor Snake,,
Constrictor Snake,,
Copper Dragon Wyrmling,,acid
Copper Dragon Wyrmling,,acid
Copper Dragon Wyrmling,,acid
Copperkill Slime,"piercing, slashing","acid, poison"
Coral Drake,cold,
Coral Drake,cold,poison
Coralfish,,
Corpse Mound,necrotic,poison
Corpse Thief,,
Corpse Worm,,poison
Corpselight Moth,necrotic,radiant
Corpse Mound,necrotic,poison
Corrupted Pixie,,
Corrupted Unicorn,,poison
Corrupted Chieftain,False,False
Corrupted Ushabti,"bludgeoning, piercing, and slashing from nonmagical attacks",
Corrupting Ooze,"slashing, bludgeoning","acid, fire, poison"
Corrupting Ooze,"bludgeoning, slashing",poison
Cosmic Symphony,nonmagic B/P/S attacks ,"radiant, thunder"
Cosmopolitan Alchemist,"fire, poison",
Couatl,radiant,"psychic; bludgeoning, piercing, and slashing from nonmagical attacks"
Couatl,"psychic, radiant; damage from nonmagical weapons",
Couatl,Celestial Resilience,psychic
Coven Green Hag,,
Coven Night Hag,,
Coven Sea Hag,,
Coven Winter Hag,cold,
Crab,,
Crab,,
"Crab, Duffel",,
"Crab, Razorback",,
"Crab, Samurai",nonmagic B/P/S attacks,
Crab,slashing,
"Crab, Giant",slashing,
Crime Boss,,
Crimson Drake,,fire
Crimson Mist,"acid, lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks","cold, necrotic, poison"
Crimson Shambler,,"acid, poison"
Crimson Jelly,Ooze Resilience,"necrotic,grappled,Ooze Resilience"
Crimson Drake,False,fire
Crinaea,fire,poison
Crocodile,,
Crocodile,,
Crocodile,charmed,
"Crocodile, Giant",charmed,
Crocotta,"bludgeoning, piercing, and slashing from metal weapons",
Crusher,,"poison, psychic"
Cryoceros,"bludgeoning, cold",
Crypt Spider,,poison
Crystalline Devil,"acid, cold; bludgeoning, piercing, and slashing from nonmagical attacks not made with silvered weapons","fire, poison"
Crystalline Monolith,"cold, fire",poison
Crystalline Devil,"acid, cold; bludgeoning, piercing, and slashing from nonmagical attacks not made with silvered weapons","fire, poison"
Crystallite,"cold, fire",poison
Cueyatl,,
Cueyatl Moon Priest,,
Cueyatl Sea Priest,,
Cueyatl Warchief,,
Cueyatl Warrior,,
Culicoid,"cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks",poison
Cult Fanatic,,
Cult Fanatic,,
Cultist,,
Cultist,,
Cultist,Dark Devotion,
"Cultist, Fanatic",Dark Devotion,
Cutthroat,,
Cyclops,,
Cyclops Myrmidon,,
Cyonaxin,"poison, radiant",
Daeodon,,
Dancing Foliage,"bludgeoning, piercing",poison
Darakhul Captain,necrotic,poison
Darakhul High Priestess,necrotic,poison
Darakhul Shadowmancer,necrotic,poison
Darakhul Spy,necrotic,poison
Darakhul,necrotic,poison
Dark Eye,,
Dark Father,"bludgeoning, piercing, and slashing from nonmagical attacks","necrotic, poison"
Dark Servant,,
Dark Voice,,
Darkmantle,,
Darkmantle,,
Darkmantle,Monstrosity Resilience,
Dau,,
Dau,False,False
Dawnfly,,"cold, fire; nonmagic bludgeoning, piercing, and slashing attacks"
"Dawnfly, Desolation Nymph",,
De Ogen,"acid, cold, lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks","fire, necrotic, poison"
Dead Mans Fingers,,
Death Barque,psychic,"necrotic, poison"
Death Butterfly Swarm,"bludgeoning, piercing, slashing",
Death Dog,,
Death Dog,,
Death Shroud Golem,"cold, necrotic; bludgeoning, piercing, and slashing from nonmagical attacks not made with adamantine weapons","poison, psychic"
Death Vulture,,"necrotic, poison"
Death Worm,,lightning
Death Dog,"Multiple Heads,Monstrosity Resilience",
Death Knight,,"necrotic,frightened,Undead Resilience"
Death Butterfly Swarm,"bludgeoning, piercing, slashing",False
Deathcap Myconid,,
Deathcap Myconid,False,False
Deathspeaker,,poison
Deathsworn Elf,,
Deathweaver,necrotic,
Deathwisp,"acid, cold, fire, lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks not made with silvered weapons","necrotic, poison"
Deathwisp,"acid, cold, fire, lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks not made with silvered weapons","necrotic, poison"
Deep Drake,,necrotic
Deep Dwarf Soldier,,
Deep Gnome Scout,,
Deep Gnome (Svirfneblin),,
Deep One,cold,
Deep One Archimandrite,"cold, thunder",
Deep One Hybrid Priest,cold,
Deep Troll,,
Deep Gnome,,
Deep Drake,False,necrotic
Deep One,cold,False
Deep One Archimandrite,"cold, thunder",False
Deep One Priest,cold,False
Deer,,
Deer,,
Deer,,
Degenerate Titan,,
Degenerate Titan,False,False
Demilich,,"necrotic, poison, psychic; damage from nonmagical weapons"
Demilich Mastermind,,"necrotic, poison, psychic; damage from nonmagical weapons"
"Demon, Balbazu","cold, fire, lightning; nonmagic B/P/S attacks",poison
"Demon, Inciter","cold, fire, lightning",poisoned
"Demon, Kogukhpak",lightning; nonmagic B/P/S attacks,"cold, fire, poison"
"Demon, Leech","cold, fire, lightning; nonmagic B/P/S attacks","acid, poison "
"Demon, Maha","fire, lightning; nonmagic B/P/S attacks","cold, poison "
"Demon, Vetala",,"necrotic, poison"
Derendian Moth Abomination,,"cold, necrotic"
"Derro, Abysswalker","cold, fire, lightning",poison
Derro Explorer,,
Derro Fetal Savant,,psychic
Derro Guard,,
"Derro, Hellforged",cold; nonmagic B/P/S attacks not made w/silvered weapons,"fire, poison"
Derro Shadow Antipaladin,,
Derro Shadowseeker,,
"Derro, Voidwarped","force, psychic; nonmagic B/P/S attacks",cold
Desert Giant,,fire
Desert Slime,,"acid, fire"
Desert Troll,,fire
Desert Giant,False,fire
Despair And Anger,"necrotic, radiant",
Destroyer,necrotic,
Deva,"radiant; bludgeoning, piercing, and slashing from nonmagical attacks",
Deva,radiant; damage from nonmagical weapons,
Deva,Angelic Resilience,Angelic Resilience
Devil Bough,,"fire, poison"
"Devil, Devilflame Juggler",cold; nonmagic B/P/S attacks not made w/silvered weapons,"fire, poison"
"Devil, Infernal Tutor","cold; bludgeoning, piercing &amp; slashing from nonmagical attacks not made w/silvered weapons","fire, poison"
"Devil, Infernal Tutor, Lesser",cold; nonmagic B/P/S attacks not made w/silver weapons,"fire, poison "
"Devil, Maelstrom",cold; nonmagical B/P/S attacks,"fire, lightning, poison"
"Devil, Moldering",cold,"fire, poison"
"Devil, Rimepacted",nonmagic B/P/S attacks not made w/silvered weapons,"cold, fire, poison"
Devil Shark,fire,cold
Devilbound Gnomish Prince,"cold, fire, poison; bludgeoning, piercing, and slashing from nonmagical attacks not made with silvered weapons",
Devilbound Gnome,"cold, fire, poison; bludgeoning, piercing, and slashing damage from nonmagical attacks not made with silvered weapons",False
Devouring Angel,,
Dhampir,necrotic,
Dhampir Commander,necrotic,
Dimensional Shambler,"acid, cold, fire; bludgeoning, piercing, and slashing from nonmagical attacks",poison
Diminution Drake,,poison
"Dinosaur, Guardian Archaeopteryx",poison,
"Dinosaur, Jeholopterus",,
"Dinosaur, Razorfeather Raptor",,
"Dinosaur, Therizinosaurus",,
"Dinosaur, Thundercall Hadrosaur",thunder,
Diomedian Horse,,
Diplodocus,,
Dipsa,acid,
Dipsa,acid,False
Dire Centipede,,
Dire Lionfish,,
Dire Owlbear,,
Dire Pangolin,poison,
Dire Tyrannosaurus Rex,,
Dire Wildebeest,,poison
Dire Wolf,,
Dire Wolf,,
Diseased Giant Rat,,
Dissimortuum,"bludgeoning, piercing, and slashing from nonmagical attacks","necrotic, poison"
Dissimortuum,"bludgeoning, piercing, and slashing from nonmagical attacks","necrotic, poison"
Div,"acid, fire",
Divi,acid,
Divi Noble,acid,
Diving Gel,"acid, fire, poison",
Djinni,,"lightning, thunder"
Djinni,"lightning, thunder",
Djinni Noble,"lightning, thunder",
Djinni,,"lightning,thunder"
Dogmole,,
Dogmole Juggernaut,,
Dogmole,False,False
Dogmole Juggernaut,False,False
Dokkaebi,,
Domovoi,,"acid, lightning"
Domovoi,False,"acid, lightning"
Doom Creeper,"bludgeoning, piercing",poison
Doom Golem,,"cold, poison, psychic; bludgeoning, piercing, and slashing from nonmagical attacks not made with adamantine"
Doppelganger,,
Doppelganger,,
Doppelganger,,charmed
Doppelixir,"acid, fire, necrotic, slashing",
Doppelrat,,
Doppelrat,False,False
Dorreq,"acid, cold, lightning",
Dorreq,"acid, cold, lightning",False
Dracotaur,,lightning
Draft Horse,,
Draft Horse,,
Dragon Cultist,,
Dragon Eel,,lightning
"Dragon, Prismatic Adult",,radiant
"Dragon, Prismatic Ancient",,radiant
"Dragon, Prismatic Wyrmling",,radiant
"Dragon, Prismatic Young",,radiant
"Dragon, Sand Adult",piercing,fire
"Dragon, Sand Ancient",piercing,fire
"Dragon, Sand Wyrmling",piercing,fire
"Dragon, Sand Young",piercing,fire
Dragon Turtle,fire,
Dragon Turtle,"cold, fire",
Dragon Turtle,fire,
Dragonbound Warrior,,
Dragon Eel,False,lightning
"Dragonette, Barnyard",,
"Dragonette, Sedge",poison,
"Dragonette, Shovel",,
Dragonflesh Golem,"acid, cold, fire, lightning, poison","bludgeoning, piercing, and slashing from nonmagical attacks not made with adamantine weapons"
Dragonleaf Tree,,"A dragonleaf tree enjoys the same immunities as its progenitor. Black, copper, and green trees are immune to acid damage; blue and bronze trees are immune to lightning damage; brass, gold, and red trees are immune to fire damage; and silver and white trees are immune to cold damage."
Dragonleaf Tree,False,False
Drainpipe Gargoyle,"piercing and slashing damage from nonmagical, non-adamantine weapons",poison
"Drake, Bakery",fire,
"Drake, Cactus","fire, lightning",
"Drake, Ethereal","cold, necrotic",poison
"Drake, Reef",thunder,
"Drake, Riptide",cold,poison
"Drake, Shepherd",,
"Drake, Vapor",cold,poison
"Drake, Venom",,poison
Drakon,acid,
Drakon,acid,False
Dread Examiner,"acid, cold, fire","poison; bludgeoning, piercing, and slashing damage from nonmagical attacks"
Dread Knight,,"cold, fire, necrotic, poison"
Dread Knight Champion,,"cold, fire, necrotic, poison"
Dread Troll,,
Dread Walker Excavator,"bludgeoning, piercing, and slashing from nonmagical attacks","poison, psychic"
Dream Eater,"cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks",poison
Dream Squire,,
Dream Wraith,"acid, cold, fire, lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks","necrotic, poison"
Dream Eater,"cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks",poison
Dretch,"cold, fire, lightning",poison
Dretch,"cold, fire, lightning",poison
Dretch,Demonic Resilience,Demonic Resilience
Drider,,
Drider,poison,
Drider,"Fey Ancestry,Monstrosity Resilience","poison,poisoned"
Drop Bear,,
Droth,"cold, fire",acid
Drow,,
Drow,Fey Ancestry,
Drowned Maiden,"bludgeoning, piercing, and slashing from nonmagical attacks not made with silvered weapons","necrotic, poison"
Drowned Maiden,"bludgeoning, piercing, and slashing from nonmagical attacks not made with silvered weapons","necrotic, poison"
Drudge Pitcher,"bludgeoning, piercing",necrotic
Druid,,
Druid,,
Druid,,
Dryad,,
Dryad,,
Dryad,Fey Resilience,
Dubius,"cold, fire, lightning","poison, psychic "
Duelist,,
Duelist,False,False
Duergar,poison,
Duergar,"poison,poisoned,Duergar Resilience",
Dullahan,"bludgeoning, piercing, and slashing from nonmagical attacks",necrotic
Dullahan,"bludgeoning, piercing, and slashing damage from nonmagical attacks",necrotic
Dune Mimic,,acid
Dune Mimic,False,"acid, fire"
Duskthorn Dryad,,
Duskthorn Dryad,False,False
Dust Goblin,,
Dust Goblin Chieftain,,
Dust Grazer,,poison
Dust Mephit,,poison
Dust Mephit,,poison
Dust Mephit,,"lightning,poison,poisoned,prone"
Dust Goblin,False,False
Dvarapala,,
"Dwarf, Angler",poison,
"Dwarf, Firecracker","fire, poison",
"Dwarf, Pike Guard",poison,
"Dwarf, Pike Guard Captain",poison,
Dwarven Ringmage,poison,
Dwarven Ringmage,poison,False
Eagle,,
Eagle,,
Eagle,,
"Eagle, Giant",,
Eala,,fire
Eala,False,fire
Earth Dragon Wyrmling,damage from nonmagical weapons,
Earth Elemental,"bludgeoning, piercing, and slashing from nonmagical attacks",poison
Earth Elemental,damage from nonmagical weapons,poison
Earth Elemental,Elemental Resilience,"lightning,Elemental Resilience"
Eater Of Dust (Yakat-Shi),"acid, cold","bludgeoning, piercing, poison and slashing from nonmagical attacks"
Eater of Dust,"acid, cold; bludgeoning, piercing, and slashing from nonmagical attacks","lightning, poison"
Echo,"cold, fire, lightning",poison
Ecstatic Bloom,,radiant
Edimmu,"acid, cold, fire, lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks","necrotic, poison"
Edimmu,"acid, cold, fire, lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks","necrotic, poison"
Edjet,fire,
Edjet Initiate,fire,
Eel Hound,,
Eel Hound,False,False
Efreeti,,fire
Efreeti,,fire
Efreeti Noble,,fire
Efreeti,,fire
Egret Harpy,,
Einherjar,piercing weapons that are nonmagical,
Einherjar,piercing from nonmagical attacks,False
Elder Black Pudding,,"acid, cold, lightning, slashing"
Elder Ghost Boar,,
Elder Shadow Drake,,cold
Elder Vampire,"necrotic; damage from nonmagical, non-silvered weapons",
Elder Shadow Drake,False,cold
Eldritch Ooze,,"acid, cold, lightning, slashing"
Eleinomae,,
Elemental Locus,"bludgeoning, piercing, and slashing","acid, cold, fire, lightning, poison, thunder; bludgeoning, piercing, and slashing from nonmagical attacks"
"Elemental, Permafrost",nonmagic B/P/S attacks,
"Elemental, Rockslide",nonmagic B/P/S attacks,
Elementalist,"one of fire, lightning, cold, or poison (see Elemental Focus)",
Elemental Locus,"bludgeoning, piercing, slashing","acid, cold, fire, lightning, poison, thunder; bludgeoning, piercing, and slashing from nonmagical attacks"
Elephant,,
Elephant,,
Elephant,prone,
"Elf, Shadow Fey Executioner",,
Elite Kobold,,
Elk,,
Elk,,
Elk,,
"Elk, Giant",,
Elophar,,poison
Elvish Veteran Archer,,
Elvish Veteran Archer,False,False
Ember Glider,poison,fire
Emerald Dragon Wyrmling,"psychic, thunder",
Emerald Eye,"cold, fire; piercing damage",poison
Emerald Order Cult Leader,"cold, fire, lightning",
Emerald Eye,"cold, fire, piercing","poison, psychic"
Emerald Order Cult Leader,False,False
Emperor’s Hyena,"cold, necrotic; bludgeoning, piercing, and slashing from nonmagical attacks",poison
Empty Cloak,bludgeoning,poison
Empty Cloak,bludgeoning,"poison, psychic"
Empusa,,
Empyrean,,radiant; damage from nonmagical weapons
Enchanter,,
Enchantress,False,False
Eonic Drifter,,
Eonic Savant,,
Eonic Drifter,False,False
Equitox,"cold, fire, lightning; nonmagic B/P/S attacks","necrotic, poison"
Erina Defender,poison,
Erina Scrounger,poison,
Erina,poison,False
Erina Tussler,,
Erina Defender,poison,False
Erinyes,"cold; bludgeoning, piercing, and slashing from nonmagical attacks not made with silvered weapons","fire, poison"
Erinyes,"cold; damage from nonmagical, non-silvered weapons","fire, poison"
Erinyes,"charmed,frightened,Devilish Resilience",Devilish Resilience
Ettercap,,
Ettercap,,
Ettercap,Monstrosity Resilience,"poison,poisoned"
Ettin,,
Ettin,,
"Ettin, Kobold",,
Ettin,"Giant Attributes,Multiple Heads",
Execrable Shrub,"piercing, poison",fire
Exploding Toad,,fire
Eye Golem,,"fire, poison, psychic; bludgeoning, piercing, and slashing from nonmagical attacks not made with adamantine weapons"
Eye of the Gods,"fire, radiant; bludgeoning, piercing, and slashing from nonmagical attacks","necrotic, poison"
Eye Golem,False,"poison, psychic, radiant; bludgeoning, piercing, and slashing from nonmagical attacks not made with adamantine weapons"
Fabricator,"bludgeoning, piercing, and slashing from nonmagical attacks","force, poison, psychic"
Faceless Wanderer,cold,"poison, psychic"
Faerie Dragon,,
Faerie Dragon Familiar,,
Faerie Eater Troll,,
Faerie Noble,,
Fallen Deva,radiant; damage from nonmagical weapons,
Fallen Planetar,radiant; damage from nonmagical weapons,"necrotic, poison"
Fallen Solar,radiant; damage from nonmagical weapons,"necrotic, poison"
Falsifier Fog,"acid, cold, fire, thunder; bludgeoning, piercing, and slashing from nonmagical attacks",poison
Fane Spirit,"acid, cold, fire, lightning, necrotic, thunder; bludgeoning, piercing, and slashing from nonmagical attacks not made with silvered weapons","poison, psychic"
Fang of the Great Wolf,cold,
Far Darrig,,
Far Dorocha,"bludgeoning, piercing, and slashing from nonmagical attacks",
Far Wanderer,cold,
Far Darrig,False,False
Fate Eater,,
Fate Eater,False,False
Faux-Garou,,
Fear Liath,,poison
Fear Smith,"bludgeoning, piercing, and slashing from weapons that aren't made of cold iron",
Fear Smith,"bludgeoning, piercing, and slashing from attacks not made with cold iron weapons",False
Felid Dragon,,poison
Fell Nightmare,,fire
Fellforged,"acid, cold, fire, lightning","necrotic, poison"
Fellforged,"acid, cold, fire, lightning","necrotic, poison, psychic"
Fennec Fox,,
Feral Hunter,"frightened,Fey Resilience",
Fetal Savant,False,psychic
Fext,"bludgeoning, piercing, and slashing damage with nonmagical weapons",
Fext,"bludgeoning, piercing, and slashing from nonmagical attacks",poison
Fey Drake,,
Fey Knight,,
Fey Revenant,"bludgeoning, piercing",poison
Feyward Tree,,"poison, psychic; bludgeoning, piercing, and slashing from nonmagical attacks not made with adamantine weapons"
Feyward Tree,"bludgeoning, piercing, and slashing from nonmagical attacks not made with adamantine weapons","lightning, poison, psychic"
Fidele Angel,"fire, lightning, poison; bludgeoning, piercing, and slashing from nonmagical attacks","acid, cold"
Fidele Angel,"fire, lightning, poison; bludgeoning, piercing, and slashing damage from nonmagical attacks","acid, cold"
Fierstjerren,,"necrotic, poison"
Fire Dancer Swarm,"bludgeoning, piercing, and slashing","fire, poison"
Fire Elemental,"bludgeoning, piercing, and slashing from nonmagical attacks","fire, poison"
Fire Elemental,damage from nonmagical weapons,"fire, poison"
Fire Giant,,fire
Fire Giant,,fire
Fire Giant War Priest,,fire
Fire Imp,"cold; bludgeoning, piercing, and slashing from nonmagical attacks not made with silver","fire, poison"
Fire-Infused Water Elemental,"acid, cold, fire; bludgeoning, piercing, slashing from nonmagical attacks",poison
Fire Elemental,Elemental Resilience,"fire,Elemental Resilience"
Fire Giant,Giant Attributes,fire
Firebird,"lightning; bludgeoning, piercing, and slashing from nonmagical attacks",fire
Firebird,"bludgeoning, piercing, and slashing from nonmagical attacks","fire, poison"
Firegeist,,"fire, poison"
Firegeist,False,"fire, poison"
Firetamer,fire,
Flab Giant,,poison
Flab Giant,False,poison
Flame Dragon Wyrmling,,fire
Flame Eater Swarm,"bludgeoning, piercing, slashing",fire
Flame-Scourged Scion,fire; slashing from nonmagical attacks,
Flame Dragon Wyrmling,False,fire
Flayed Wraith,"cold; bludgeoning, piercing, and slashing from nonmagical attacks not made with silvered weapons","necrotic, poison"
Flesh Golem,,"lightning, poison; bludgeoning, piercing, and slashing from nonmagical attacks not made with adamantine weapons"
Flesh Guardian,,"lightning, poison; damage from nonmagical, non-adamantine weapons"
Flesh Reaver,necrotic,poison
Flesh Golem,,"lightning,Flesh Golem Resilience"
Fleshdreg,fire,acid
Fleshpod Hornet,,
Fleshspurned,"acid, cold, fire, lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks","necrotic, poison"
Flinderbeast,"acid,Fey Resilience",
Flithidir,,
Flumph,,
Flutterflesh,"cold, lightning; bludgeoning, piercing, and slashing from nonmagical attacks","necrotic, poison"
Flutterflesh,"cold, lightning; bludgeoning, piercing, and slashing from nonmagical attacks","necrotic, poison"
Flying Lion,,
Flying Polyp,"acid, cold, fire, thunder; bludgeoning, piercing, and slashing from nonmagical attacks",
Flying Snake,,
Flying Snake,,
Flying Sword,,"poison, psychic"
Flying Sword,piercing,"poison, psychic"
Flying Sword,piercing,"blinded,deafened,prone,Construct Resilience"
Folk Of Leng,cold,necrotic
Folk of Leng,cold,necrotic
Fomorian,,"psychic; damage from nonmagical, non-silvered weapons"
Forest Drake,,fire
Forest Emperor,,"acid, cold; bludgeoning from nonmagical attacks"
Forest Falcon,,
Forest Gnome Illusionist,,
Forest Gnome Scout,,
Forest Marauder,,
Forest Hunter,False,False
Forest Marauder,False,False
Forgotten God,"poison, radiant; damage from nonmagical weapons",
Forgotten Regent,"acid, cold, fire, lighting, thunder; nonmagic B/P/S attacks not made w/silvered weapons","cold, necrotic, poison"
Foxfire Ooze,"bludgeoning, piercing, and slashing from nonmagical attacks","acid, fire, lightning"
Foxin,,
Fractal Golem,,"poison, psychic; bludgeoning, piercing, and slashing from nonmagical attacks not made with adamantine"
Fragrant One,,
Fragrite,"fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks",poison
Fraughashar,,cold
Fraughashar,False,cold
Frog,,
Frog,,
Frog,grappled,
"Frog, Giant",grappled,
"Frog, Giant Poisonous",,
Frost Giant,,cold
Frost Giant,,cold
Frost Giant Jarl,,cold
Frost Mole,cold,
Frost Giant,"blinded,Giant Attributes",cold
Frostjack,B/P/S damage from nonmagical attacks not made w/cold iron weapons,cold
Frostveil,bludgeoning and piercing from nonmagical attacks,cold
Frostveil,bludgeoning and piercing from nonmagical attacks,cold
Fulad-Zereh,"cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks",poison
Fulminar,"lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks",poison
"Fungi, Duskwilt","necrotic, poison",
"Fungi, Mulcher",,
"Fungi, Mush Marcher",,
"Fungi, Void Fungus","cold, fire",
Gaki,"acid, fire, lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks","cold, necrotic, poison"
Galidroo,"bludgeoning, piercing, and slashing from nonmagical attacks",psychic
Gargoctopus,,
Gargoyle,"bludgeoning, piercing, and slashing from nonmagical attacks not made with adamantine weapons",poison
Gargoyle,"piercing and slashing damage from nonmagical, non-adamantine weapons",poison
Gargoyle,"bludgeoning,piercing,and slashing from nonmagical attacks","poison,exhaustion,petrified,poisoned"
Garlicle,,
Garmvvolf,,
Garroter Crab,,psychic
Garroter Crab,False,False
Gaunt One,,
Gbahali (Postosuchus),,
Gbahali,False,False
Gear Spider,,"poison, psychic"
Gearforged Templar,"bludgeoning, piercing, and slashing from nonmagical attacks",poison
Gearforged Templar,"bludgeoning, piercing, and slashing from nonmagical attacks","poison, psychic"
Gearmass,,"acid, fire"
Gelatinous Cube,,
Gelatinous Cube,,
Gelatinous Wall,,
Gelatinous Cube,Ooze Resilience,"acid,piercing,Ooze Resilience"
Gerridae,,
Gerridae,False,False
Ghast,necrotic,poison
Ghast,necrotic,poison
Ghast of Leng,cold,
Ghast,necrotic,"charmed,Undead Resilience"
Ghillie Dubh,"cold, radiant",poison
Ghost,"acid, fire, lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks","cold, necrotic, poison"
Ghost,"acid, fire, lightning, thunder; damage from nonmagical weapons","cold, necrotic, poison"
Ghost Boar,,
Ghost Dragon,"acid, fire, lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks","cold, necrotic, poison"
Ghost Dwarf,"acid, cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks","necrotic, poison"
Ghost Knight,necrotic,poison
Ghost Knight Templar,"cold, necrotic; nonmagic B/P/S attacks",poison
Ghost,"acid,fire,lightning,thunder; bludgeoning,piercing,and slashing from nonmagical attacks","cold,necrotic,charmed,frightened,grappled,paralyzed,petrified,prone,restrained,Undead Resilience"
Ghost Knight,necrotic,poison
Ghostwalk Spider,,poison
Ghostwalk Spider,False,poison
Ghoul,,poison
Ghoul,necrotic,poison
Ghoul Bat,,poison
"Ghoul, Darakhul",necrotic,poison
"Ghoul, Imperial",,poison
"Ghoul, Iron",,poison
Ghoul,,"charmed,Undead Resilience"
Ghoulsteed,,poison
Ghul,"cold, fire, lightning, necrotic",poison
Giant Air Elemental,"lightning, thunder; damage from nonmagical weapons",poison
Giant Albino Bat,,
Giant Ant,,
Giant Ant Queen,,
Giant Ape,,
Giant Ape,,
Giant Armadillo,,
Giant Badger,,
Giant Badger,,
Giant Bat,,
Giant Bat,,
Giant Boar,,
Giant Boar,,
Giant Bombardier Beetle,fire,
Giant Centipede,,
Giant Centipede,,
Giant Constrictor Snake,,
Giant Constrictor Snake,,
Giant Crab,,
Giant Crab,,
Giant Crocodile,,
Giant Crocodile,,
Giant Eagle,,
Giant Eagle,,
Giant Earth Elemental,damage from nonmagical weapons,poison
Giant Elk,,
Giant Elk,,
Giant Fire Beetle,,
Giant Fire Beetle,,
Giant Fire Elemental,damage from nonmagical weapons,"fire, poison"
"Giant, Firestorm",,"cold, fire"
Giant Flea,bludgeoning,
Giant Flea Swarm,"bludgeoning, piercing, slashing",
Giant Frilled Lizard,,
Giant Frog,,
Giant Frog,,
Giant Goat,,
Giant Goat,,
Giant Grick,damage from nonmagical weapons,
"Giant, Hellfire",fire,
Giant Honey Bee,,
Giant Husk,,poison
Giant Hyena,,
Giant Hyena,,
"Giant, Lantern",,cold
Giant Lanternfish,,
Giant Leech,,
Giant Lizard,,
Giant Lizard,,
Giant Mantis Shrimp,,
Giant Mole Lizard,acid,
Giant Mongoose,poison,
Giant Moth,,
Giant Octopus,,
Giant Octopus,,
Giant Owl,,
Giant Owl,,
Giant Poisonous Snake,,
Giant Poisonous Snake,,
Giant Pufferfish,,poison
Giant Rat,,
Giant Rat,,
Giant Rat (Diseased),,
Giant Scorpion,,
Giant Scorpion,,
Giant Sea Horse,,
Giant Seahorse,,
Giant Shark,,
Giant Shark,,
Giant Shark Bowl,"acid, fire, slashing",lightning
"Giant, Shire",,
Giant Sloth,poison,
Giant Snow Beetle,cold,
Giant Spider,,
Giant Spider,,
"Giant, Thursir Armorer",,
"Giant, Thursir Hearth Priestess",,
Giant Toad,,
Giant Toad,,
Giant Vampire Bat,,
Giant Vulture,,
Giant Vulture,,
Giant Walking Stick,"bludgeoning, piercing",
Giant Wasp,,
Giant Wasp,,
Giant Water Elemental,acid; damage from nonmagical weapons,poison
Giant Water Scorpion,,
Giant Weasel,,
Giant Weasel,,
Giant Wolf Spider,,
Giant Wolf Spider,,
Giant Ant,False,False
Giant Ant Queen,False,False
Gibbering Mouther,,
Gibbering Mouther,psychic,
Gibbering Mouther,Aberrant Resilience,prone
Gigantura,cold,
Gilded Devil,"cold; bludgeoning, piercing, and slashing from nonmagical attacks not made with silvered weapons","fire, poison"
Gilded Devil,"cold; bludgeoning, piercing, and slashing damage from nonmagical attacks not made with silvered weapons","fire, poison"
Glabrezu,"cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks",poison
Glabrezu,"cold, fire, lightning; damage from nonmagical weapons",poison
Glabrezu,"bludgeoning,piercing,and slashing damage from nonmagical attacks,Demonic Resilience",Demonic Resilience
Glacial Corrupter,,"cold, poison"
Glacial Crawler,,"acid, cold, fire"
Glacier Behemoth,"bludgeoning, piercing, and slashing from nonmagical attacks",cold
Gladiator,,
Gladiator,,
Gladiator,frightened,
Glass Gator,,
Glass Golem,piercing and slashing from nonmagical attacks not made with adamantine,"poison, psychic"
Glass Gator,False,False
Gloomflower,,
Gnarljak,"cold, acid, fire; bludgeoning, piercing, and slashing from nonmagical attacks","necrotic, poison, psychic"
Gnarljak,"bludgeoning, piercing, and slashing from nonmagical attacks","poison, psychic"
Gnoll,,
Gnoll,,
Gnoll Demonfang,,
Gnoll Havoc Runner,,
Gnoll Pack Leader,,
Gnoll Slaver,,
Gnoll,,
Gnoll Havoc Runner,False,False
Gnyan,,"cold, poison"
Goat,,
Goat,,
Goat-Man,"bludgeoning, piercing, and slashing from nonmagical attacks not made with silvered weapons",
Goat-Man,False,False
